k_ext,build_s,base_s,max_dist,evpK,explore_rerank_s,total_s,recall
16,154.2,196.2,400,50,76.6,272.8,0.7374
16,154.2,196.2,500,50,89.8,286.0,0.7524
16,154.2,196.2,600,50,101.4,297.6,0.7648
16,154.2,196.2,700,50,113.4,309.6,0.7751
16,154.2,196.2,800,50,126.0,322.2,0.7835
16,154.2,196.2,1000,50,143.7,339.9,0.7958
20,159.0,203.8,400,50,79.0,282.8,0.735
20,159.0,203.8,500,50,91.2,295.0,0.7499
20,159.0,203.8,600,50,103.5,307.3,0.7624
20,159.0,203.8,700,50,114.9,318.7,0.7727
20,159.0,203.8,800,50,125.4,329.2,0.7811
20,159.0,203.8,1000,50,144.0,347.8,0.7934
26,156.6,200.1,400,50,78.0,278.1,0.7379
26,156.6,200.1,500,50,90.4,290.5,0.7528
26,156.6,200.1,600,50,102.9,303.0,0.7653
26,156.6,200.1,700,50,114.0,314.1,0.7756
26,156.6,200.1,800,50,126.1,326.2,0.784
26,156.6,200.1,1000,50,143.1,343.2,0.7963
32,175.3,220.7,400,50,77.7,298.4,0.7709
32,175.3,220.7,500,50,90.1,310.8,0.7837
32,175.3,220.7,600,50,103.3,324.0,0.7945
32,175.3,220.7,700,50,114.6,335.3,0.8035
32,175.3,220.7,800,50,125.7,346.4,0.811
32,175.3,220.7,1000,50,144.9,365.6,0.822
40,206.0,248.6,400,50,78.2,326.8,0.7981
40,206.0,248.6,500,50,91.1,339.7,0.8095
40,206.0,248.6,600,50,103.6,352.2,0.8188
40,206.0,248.6,700,50,115.4,364.0,0.8266
40,206.0,248.6,800,50,126.4,375.0,0.8331
40,206.0,248.6,1000,50,146.1,394.7,0.843
50,239.1,284.0,400,50,78.3,362.3,0.8182
50,239.1,284.0,500,50,90.8,374.8,0.8292
50,239.1,284.0,600,50,103.3,387.3,0.8375
50,239.1,284.0,700,50,115.0,399.0,0.8443
50,239.1,284.0,800,50,126.1,410.1,0.8501
50,239.1,284.0,1000,50,147.5,431.5,0.8589
